!Contact Email: help@wormbase.org
WB	WBGene00000001	aap-1		GO:0005942	WB_REF:WBPaper00046480|PMID:21873635	IBA	MGI:MGI:109277|PANTHER:PTN000806614|RGD:3329|UniProtKB:P23727|WB:WBGene00000001	C		Y110A7A.10	gene	taxon:6239	20170228	GO_Central		
WB	WBGene00000001	aap-1		GO:0005942	GO_REF:0000002	IEA	InterPro:IPR001720	C		Y110A7A.10	gene	taxon:6239	20181214	WB		
WB	WBGene00000001	aap-1		GO:0005942	WB_REF:WBPaper00005614|PMID:12393910	IDA		C		Y110A7A.10	gene	taxon:6239	20151214	WB		
WB	WBGene00000001	aap-1		GO:0008286	WB_REF:WBPaper00046480|PMID:21873635	IBA	MGI:MGI:109277|MGI:MGI:1098772|MGI:MGI:97583|PANTHER:PTN000016388|RGD:3329|UniProtKB:P23727|WB:WBGene00000001	P		Y110A7A.10	gene	taxon:6239	20170228	GO_Central		
WB	WBGene00000001	aap-1		GO:0008286	WB_REF:WBPaper00005614|PMID:12393910	IGI	WB:WBGene00000090	P		Y110A7A.10	gene	taxon:6239	20151214	WB		
WB	WBGene00000001	aap-1		GO:0008286	WB_REF:WBPaper00005614|PMID:12393910	IGI	WB:WBGene00000898	P		Y110A7A.10	gene	taxon:6239	20151214	WB		
WB	WBGene00000001	aap-1		GO:0008286	WB_REF:WBPaper00005614|PMID:12393910	IMP		P		Y110A7A.10	gene	taxon:6239	20060302	WB		
WB	WBGene00000001	aap-1		GO:0008340	WB_REF:WBPaper00005614|PMID:12393910	IMP		P		Y110A7A.10	gene	taxon:6239	20060302	WB		
WB	WBGene00000001	aap-1		GO:0016301	GO_REF:0000038	IEA	UniProtKB-KW:KW-0418	F		Y110A7A.10	gene	taxon:6239	20181110	UniProt		
WB	WBGene00000001	aap-1		GO:0016310	GO_REF:0000038	IEA	UniProtKB-KW:KW-0418	P		Y110A7A.10	gene	taxon:6239	20181110	UniProt		
WB	WBGene00000001	aap-1		GO:0019901	WB_REF:WBPaper00005614|PMID:12393910	IPI	WB:WBGene00000090	F		Y110A7A.10	gene	taxon:6239	20151214	WB		
