1	|	1	|	no rank	|		|	8	|	0	|	1	|	0	|	0	|	0	|	0	|	0	|		|
2	|	131567	|	superkingdom	|		|	0	|	0	|	11	|	0	|	0	|	0	|	0	|	0	|		|
6	|	335928	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
7	|	6	|	species	|	AC	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
9	|	32199	|	species	|	BA	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
10	|	1706371	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
11	|	1707	|	species	|	CG	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
13	|	203488	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
14	|	13	|	species	|	DT	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
16	|	32011	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
17	|	16	|	species	|	MM	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
18	|	213421	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
19	|	18	|	species	|	PC	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
20	|	76892	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
21	|	20	|	species	|	PI	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
22	|	267890	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
23	|	22	|	species	|	SC	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
24	|	22	|	species	|	SP	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
25	|	22	|	species	|	SH	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
27	|	49928	|	species	|	HE	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
28	|	49928	|	species	|	HE	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
29	|	28221	|	order	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
31	|	80811	|	family	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
32	|	31	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
33	|	32	|	species	|	MF	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
34	|	32	|	species	|	MX	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
35	|	32	|	species	|	MM	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
38	|	47	|	species	|	AD	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
39	|	80811	|	family	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
40	|	39	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
41	|	40	|	species	|	SA	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
42	|	39	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
43	|	42	|	species	|	CF	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
44	|	39	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
45	|	44	|	species	|	ML	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
47	|	39	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
48	|	47	|	species	|	AG	|	0	|	1	|	11	|	1	|	0	|	1	|	1	|	0	|		|
49	|	80812	|	family	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
50	|	49	|	genus	|		|	0	|	1	|	11	|	1	|	0	|	1	|	0	|	0	|		|
